timestamp,ssid,bssid,frequency,rss,wifiNo,legit
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,1121,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,1121,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,1121,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,1121,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,1121,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,1121,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,1121,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,1121,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1121,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,1121,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,1121,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,1121,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,1121,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,1121,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,1121,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,1121,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,1121,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,1121,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,1121,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,1121,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,1121,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,1121,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,1121,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,1121,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,1121,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,1121,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,1121,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,1121,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,1121,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,1122,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,1122,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,1122,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,1122,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,1122,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,1122,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,1122,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,1122,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,1122,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,1122,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,1122,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,1122,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,1122,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,1122,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,1122,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,1122,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,1122,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,1122,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,1122,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,1122,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,1122,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,1122,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1122,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,1122,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,1122,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,1122,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,1122,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,1122,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,1122,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,1122,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,1122,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,1122,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,1122,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,1122,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,1122,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,1122,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,1122,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,1122,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,1122,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,1122,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,1122,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,1122,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,1122,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,1123,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,1123,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,1123,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,1123,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,1123,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,1123,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,1123,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,1123,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,1123,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,1123,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,1123,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,1123,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,1123,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,1123,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,1123,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,1123,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,1123,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,1123,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,1123,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,1123,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,1123,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,1123,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1123,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,1123,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,1123,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,1123,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,1123,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,1123,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,1123,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,1123,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,1123,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,1123,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,1123,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,1123,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,1123,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,1123,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,1123,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,1123,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,1123,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,1123,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,1123,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,1123,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,1123,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,1124,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,1124,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,1124,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,1124,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,1124,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,1124,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,1124,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,1124,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,1124,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,1124,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,1124,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,1124,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,1124,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,1124,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,1124,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,1124,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,1124,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,1124,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,1124,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,1124,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,1124,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,1124,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1124,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,1124,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,1124,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,1124,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,1124,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,1124,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,1124,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,1124,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,1124,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,1124,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,1124,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,1124,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,1124,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,1124,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,1124,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,1124,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,1124,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,1124,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,1124,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,1124,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,1124,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,1125,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,1125,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,1125,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,1125,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,1125,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,1125,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,1125,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,1125,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,1125,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,1125,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,1125,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,1125,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,1125,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,1125,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,1125,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,1125,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,1125,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,1125,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,1125,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,1125,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,1125,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,1125,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1125,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,1125,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,1125,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,1125,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,1125,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,1125,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,1125,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,1125,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,1125,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,1125,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,1125,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,1125,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,1125,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,1125,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,1125,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,1125,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,1125,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,1125,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,1125,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,1125,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,1125,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,1126,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,1126,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,1126,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,1126,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,1126,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,1126,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,1126,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,1126,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,1126,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,1126,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,1126,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,1126,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,1126,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,1126,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,1126,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,1126,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,1126,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,1126,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,1126,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,1126,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,1126,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,1126,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1126,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,1126,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,1126,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,1126,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,1126,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,1126,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,1126,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,1126,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,1126,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,1126,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,1126,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,1126,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,1126,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,1126,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,1126,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,1126,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,1126,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,1126,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,1126,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,1126,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,1126,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,1127,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,1127,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,1127,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,1127,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,1127,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,1127,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,1127,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,1127,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,1127,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,1127,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,1127,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,1127,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,1127,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,1127,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,1127,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,1127,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,1127,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,1127,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,1127,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,1127,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,1127,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,1127,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1127,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,1127,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,1127,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,1127,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,1127,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,1127,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,1127,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,1127,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,1127,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,1127,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,1127,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,1127,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,1127,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,1127,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,1127,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,1127,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,1127,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,1127,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,1127,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,1127,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,1127,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,1128,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,1128,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,1128,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,1128,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,1128,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,1128,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,1128,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,1128,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,1128,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,1128,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,1128,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,1128,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,1128,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,1128,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,1128,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,1128,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,1128,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,1128,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,1128,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,1128,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,1128,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,1128,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,1128,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,1128,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,1128,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,1128,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,1128,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,1128,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,1128,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,1128,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,1128,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,1128,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,1128,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,1128,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,1128,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,1128,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,1128,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,1128,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,1128,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,1128,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,1128,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,1128,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,1128,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,1129,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,1129,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,1129,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,1129,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,1129,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,1129,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,1129,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,1129,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,1129,false
